latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.4887,-54.0285,508.6,1.5,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,340.0,3198.4,D,0
-11.4865,-54.0151,507.7,1.5,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,333.7,3171.4,D,0
-10.094,-52.7426,507.6,1.0,1.0,2021-06-01,1710,Aqua,MODIS,100,6.03,400.1,1795.3,D,0
-6.8534,-59.2653,507.6,1.1,1.0,2021-08-09,1730,Aqua,MODIS,100,6.03,400.1,1958.4,D,0
-11.5651,-43.3923,507.6,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,2115.1,D,0
-11.522,-43.4117,507.3,3.2,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,400.1,9612.1,D,0
-11.3493,-43.6097,506.3,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2121.9,D,0
-15.0691,-43.1825,505.6,1.0,1.0,2021-09-18,1638,Aqua,MODIS,100,6.03,400.1,1728.8,D,0
-19.8018,-57.2323,505.5,1.0,1.0,2021-08-07,1738,Aqua,MODIS,100,6.03,400.1,1752.7,D,0
-6.5689,-53.2179,505.5,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,341.0,2490.7,D,0
-6.457,-53.3643,505.4,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,400.1,2550.8,D,0
-11.4966,-43.4619,505.2,1.8,1.3,2021-09-22,1615,Aqua,MODIS,100,6.03,400.1,4015.2,D,0
-11.3369,-43.5903,505.1,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2088.1,D,0
-8.9838,-65.9438,504.8,1.2,1.1,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,2166.4,D,0
-11.526,-43.4161,504.6,3.2,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,400.1,9254.0,D,0
-4.2057,-53.4966,504.5,1.1,1.0,2021-10-16,1706,Aqua,MODIS,100,6.03,333.7,1850.4,D,0
-8.1709,-55.4431,504.3,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,400.1,2202.8,D,0
-11.3397,-43.6112,504.3,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2072.1,D,0
-6.4452,-53.3539,504.2,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,336.4,2503.1,D,0
-8.9742,-65.9452,504.1,1.2,1.1,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,2145.6,D,0
-20.1472,-57.5908,504.1,2.1,1.4,2021-09-20,1803,Aqua,MODIS,100,6.03,400.1,4814.4,D,0
-11.4987,-43.4782,504.1,1.8,1.3,2021-09-22,1615,Aqua,MODIS,100,6.03,400.1,3968.8,D,0
-11.3355,-43.5799,503.8,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2046.5,D,0
-11.3383,-43.6007,503.8,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2051.9,D,0
-6.4163,-53.3699,503.7,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,400.1,2490.4,D,0
-9.8924,-43.7024,503.6,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,1984.3,D,0
-15.0601,-43.1839,503.5,1.0,1.0,2021-09-18,1638,Aqua,MODIS,100,6.03,400.1,1674.3,D,0
-21.7964,-57.9066,503.4,1.2,1.1,2021-08-21,1750,Aqua,MODIS,0,6.03,400.1,2096.4,D,0
-9.8938,-43.7126,503.4,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,1985.8,D,0
-11.3997,-43.6416,503.4,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1701.8,D,0
-11.3507,-43.6202,503.1,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2029.3,D,0
-8.1791,-55.431,503.0,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,400.1,2155.9,D,0
-6.6078,-58.666,503.0,1.5,1.2,2021-08-11,1718,Aqua,MODIS,100,6.03,400.1,2877.3,D,0
-11.3983,-43.6324,502.9,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1686.9,D,0
-8.9853,-65.9545,502.9,1.2,1.1,2021-08-05,1754,Aqua,MODIS,100,6.03,340.6,2110.2,D,0
-11.3589,-43.6084,502.8,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,2010.9,D,0
-11.3956,-43.614,502.7,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1682.6,D,0
-11.3943,-43.6048,502.7,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1682.7,D,0
-3.4591,-50.7223,502.7,1.1,1.0,2021-10-16,1706,Aqua,MODIS,100,6.03,327.4,1812.8,D,0
-8.5887,-67.1298,502.6,1.8,1.3,2021-08-14,1748,Aqua,MODIS,100,6.03,329.0,3797.8,D,0
-2.8188,-52.9359,502.6,1.8,1.3,2021-09-25,1648,Aqua,MODIS,100,6.03,308.6,3873.5,D,0
-7.2262,-59.449,502.5,1.0,1.0,2021-08-07,1742,Aqua,MODIS,87,6.03,400.1,1766.4,D,0
-20.5925,-47.6642,502.4,1.0,1.0,2021-09-14,1701,Aqua,MODIS,100,6.03,400.1,1681.1,D,0
-15.3381,-41.1075,502.4,1.1,1.1,2021-10-04,1638,Aqua,MODIS,94,6.03,400.1,2012.3,D,0
-6.8386,-59.273,502.4,1.1,1.0,2021-08-09,1730,Aqua,MODIS,100,6.03,337.9,1819.1,D,0
-10.9245,-56.5387,502.3,1.0,1.0,2021-07-01,1722,Aqua,MODIS,100,6.03,400.1,1762.2,D,0
-8.434,-55.247,502.3,1.0,1.0,2021-08-18,1723,Aqua,MODIS,100,6.03,400.1,1666.2,D,0
-8.4354,-55.2561,502.3,1.0,1.0,2021-08-18,1723,Aqua,MODIS,100,6.03,400.1,1665.8,D,0
-11.4817,-54.2929,502.2,1.4,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,337.9,2760.4,D,0
-8.0682,-55.2894,502.1,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,400.1,2069.2,D,0
-8.69,-62.6117,501.7,1.0,1.0,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,1682.9,D,0
-6.6096,-58.679,501.6,1.5,1.2,2021-08-11,1718,Aqua,MODIS,94,6.03,400.1,2829.9,D,0
-13.8063,-44.6344,501.6,1.4,1.2,2021-09-20,1626,Aqua,MODIS,100,6.03,400.1,2699.5,D,0
-9.0595,-67.5015,501.6,1.4,1.2,2021-08-24,1825,Aqua,MODIS,94,6.03,338.9,2570.3,D,0
-8.5789,-67.1217,501.6,1.8,1.3,2021-08-14,1748,Aqua,MODIS,100,6.03,332.2,3732.4,D,0
-8.7578,-63.142,501.4,1.0,1.0,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,1636.1,D,0
-8.8898,-62.5594,501.3,1.0,1.0,2021-08-21,1754,Aqua,MODIS,100,6.03,400.1,1676.7,D,0
-20.4298,-49.2278,501.2,1.0,1.0,2021-09-21,1707,Aqua,MODIS,100,6.03,400.1,1654.6,D,0
-11.4696,-43.7474,500.4,1.0,1.0,2021-10-04,1639,Aqua,MODIS,89,6.03,400.1,1618.9,D,0
-11.6561,-43.5474,500.0,1.1,1.1,2021-09-23,135,Terra,MODIS,100,6.03,387.1,1916.9,N,0
-11.6546,-43.5371,500.0,1.1,1.1,2021-09-23,135,Terra,MODIS,100,6.03,371.6,1919.2,N,0
-6.5831,-45.3354,500.0,1.0,1.0,2021-08-21,1319,Terra,MODIS,100,6.03,363.3,1673.7,D,0
-15.0471,-43.3095,500.0,1.0,1.0,2021-09-16,128,Terra,MODIS,100,6.03,360.1,1601.5,N,0
-15.0381,-43.3109,500.0,1.0,1.0,2021-09-16,128,Terra,MODIS,100,6.03,357.2,1602.2,N,0
-7.683,-61.1957,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,100,6.03,353.6,1795.1,D,0
-18.1554,-52.9442,500.0,1.4,1.2,2021-07-10,154,Terra,MODIS,100,6.03,352.7,2673.9,N,0
